model_name,dataset_name,avg_macro_f1
BERT,CDPTopic,64.418
BERT,ClimateEng,43.912
BERT,ClimateFEVER,62.782
BERT,ClimateIns,80.353
BERT,ClimateStance,42.576
BERT,ClimaText,82.988
BERT,SciDCC,52.698
ClimateBERT,CDPTopic,64.207
ClimateBERT,ClimateEng,64.514
ClimateBERT,ClimateFEVER,62.305
ClimateBERT,ClimateIns,81.95
ClimateBERT,ClimateStance,52.428
ClimateBERT,ClimaText,73.096
ClimateBERT,SciDCC,52.058
CliReBERT,CDPTopic,61.863
CliReBERT,ClimateEng,66.043
CliReBERT,ClimateFEVER,61.175
CliReBERT,ClimateIns,81.304
CliReBERT,ClimateStance,50.23
CliReBERT,ClimaText,84.19
CliReBERT,SciDCC,53.325
CliSciBERT,CDPTopic,65.475
CliSciBERT,ClimateEng,48.644
CliSciBERT,ClimateFEVER,60.523
CliSciBERT,ClimateIns,80.111
CliSciBERT,ClimateStance,41.901
CliSciBERT,ClimaText,74.934
CliSciBERT,SciDCC,51.926
DistilRoBERTa,CDPTopic,63.853
DistilRoBERTa,ClimateEng,35.316
DistilRoBERTa,ClimateFEVER,61.528
DistilRoBERTa,ClimateIns,80.211
DistilRoBERTa,ClimateStance,41.115
DistilRoBERTa,ClimaText,73.669
DistilRoBERTa,SciDCC,52.762
RoBERTa,CDPTopic,65.51
RoBERTa,ClimateEng,32.333
RoBERTa,ClimateFEVER,63.761
RoBERTa,ClimateIns,79.432
RoBERTa,ClimateStance,39.508
RoBERTa,ClimaText,68.62
RoBERTa,SciDCC,52.548
SciBERT,CDPTopic,64.168
SciBERT,ClimateEng,42.111
SciBERT,ClimateFEVER,62.085
SciBERT,ClimateIns,81.347
SciBERT,ClimateStance,39.699
SciBERT,ClimaText,74.001
SciBERT,SciDCC,51.748
SciClimateBERT,CDPTopic,64.626
SciClimateBERT,ClimateEng,30.073
SciClimateBERT,ClimateFEVER,61.482
SciClimateBERT,ClimateIns,79.825
SciClimateBERT,ClimateStance,40.604
SciClimateBERT,ClimaText,75.638
SciClimateBERT,SciDCC,52.559
